"CNES","NOME FANTASIA","NÍVEL DE ATENÇÃO","TURNO DE ATENDIMENTO","latitude","longitude","capacidade/mes","servicos_inferidos"
"2645777","UNIDADE DE SAUDE DA FAMILIA SANTA CLARA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5961219508164115","-44.1986014700842","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2455803","CENTRO DE SAUDE JOAO DE DEUS","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5590897349972486","-44.23005228533638","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"5992982","CLINICA DA FAMILIA VILA MARANHAO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.53599","-44.2972982","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2455765","CLINICA DA FAMILIA DO SACAVEM","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5578223458788916","-44.261012570655836","3000","atenção básica; clínica geral; enfermagem"
"2308797","CENTRO DE SAUDE DO RADIONAL","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.548090933327575","-44.250212995661094","3000","atenção básica; clínica geral; enfermagem"
"9784950","PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO","AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.51","-44.287","6000","especialidades ambulatoriais não identificadas"
"3576566","CENTRO DE SAUDE MARIA DE LOURDES RODRIGUES","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.653588685306232","-44.29251502960687","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309270","CENTRO DE SAUDE LAURA VASCONCELOS","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.757453331246194","-44.35195673836537","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645793","U S F ANTONIO CARLOS SOUSA REIS OLIMPICA I","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.597464779977909","-44.187282353155396","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"6929389","UNIDADE PRISIONAL SAO LUIS 5","AMBULATORIAL - 02 MEDIA COMPLEXIDADE","06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","-2.53","-44.297","6000","especialidades ambulatoriais não identificadas"
"2876175","CENTRO DE SAUDE BAIRRO DE FATIMA","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.53434","-44.29292","3000","atenção básica; clínica geral; enfermagem"
"3365816","CENTRO DE SAUDE DR ANTONIO GUANARE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.567433944452719","-44.2691215926497","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2308479","CENTRO DE SAUDE THALLES RIBEIRO GONCALVES","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.616569659216252","-44.25713656676083","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645815","UNIDADE DE SAUDE DA FAMILIA PIRAPORA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5591946597214275","-44.23850729042951","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"6120520","CENTRO DE SAUDE JANAINA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.593683","-44.1900901","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"978841","CENTRO DE SAUDE DIVINEIA","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.4907569539911787","-44.220893264233084","3000","atenção básica; clínica geral; enfermagem"
"4096584","PENITENCIARIA REGIONAL DE SAO LUIS PRSLZ","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.53","-44.297","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2697963","CENTRO DE SAUDE DA LIBERDADE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.532013472402714","-44.284235611073655","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"842761","CENTRO DE SAUDE IPASE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.533015801516556","-44.25786260617122","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2458721","CENTRO DE SAUDE MARACANA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6288334914005893","-44.28944528630167","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2310007","CENTRO DE SAUDE SAO CRISTOVAO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5750220185217603","-44.239689722046315","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309319","CENTRO DE SAUDE VILA NOVA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5381790397959607","-44.32781114637143","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"3173852","UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.514025469438862","-44.29918743479592","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2530562","CENTRO DE SAUDE NAZARE NEIVA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5962414609400812","-44.22913070437666","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"7152744","NUCLEO DE ASSISTENCIA DE SAUDE NAS","AMBULATORIAL - 02 MEDIA COMPLEXIDADE","04 ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE","-2.53","-44.297","6000","especialidades ambulatoriais não identificadas"
"3173828","CENTRO DE SAUDE FABICIANA DE MORAES","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5870659296069776","-44.206653517522724","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2698013","CENTRO DE SAUDE GENESIO RAMOS FILHO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5416759185772593","-44.21563090275801","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"4091418","UNIDADE PRISIONAL DE RESSOCIALIZACAO DE SAO LUIS UPR 6","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.531","-44.297","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"7071116","CENTRO DE SAUDE DRA VALDECY ELEOTERIA MARTINS","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5696933044785073","-44.299453578023545","3000","atenção básica; clínica geral; enfermagem"
"666394","CENTRO DE SAUDE BARRETO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5441470641804442","-44.260393605219626","3000","atenção básica; clínica geral; enfermagem"
"2310058","CLINICA DA FAMILIA DO TURU","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5026525370397623","-44.22295266510974","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2456818","CENTRO DE SAUDE YVES PARGA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6249740326243627","-44.31612314242039","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"7261136","CENTRO DE SAUDE COQUILHO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6666776926751954","-44.18716860704473","3000","atenção básica; clínica geral; enfermagem"
"2309300","CENTRO DE SAUDE SALOMAO FIQUENE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5385422","-44.2031532","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"724203","UBS VEREADOR BATISTA MATOS ALEMANHA","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.537397959475597","-44.26955970058099","3000","atenção básica; clínica geral; enfermagem"
"6929370","UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA","AMBULATORIAL - 02 MEDIA COMPLEXIDADE","06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","-2.5318","-44.2979","6000","especialidades ambulatoriais não identificadas"
"2309998","CENTRO DE SAUDE BEZERRA DE MENESES","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5080751335182407","-44.30472964280755","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645769","UNIDADE DE SAUDE DA FAMILIA VILA SARNEY","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.633672577761528","-44.27067144564561","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"3827402","CENTRO DE SAUDE GAPARA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5891820233812384","-44.30337128426681","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"948357","CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5320009582626817","-44.284380426048145","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309262","CENTRO DE SAUDE DE PEDRINHAS I","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6812242024804758","-44.29551530203929","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645890","CENTRO DE SAUDE IPEM SAO CRISTOVAO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5683810749773306","-44.2177699046536","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2458179","CENTRO DE SAUDE VILA ITAMAR","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5945898802723306","-44.2469786789376","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"7798342","CENTRO DE SAUDE DR EXPEDITO ALVES DE MELO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6063256554369416","-44.18797068770254","3000","atenção básica; clínica geral; enfermagem"
